,дата,well_name,q_std,P_res,P_bhp,P_thp
0,13505.0,well_3,14887.352096621253,99.76525321446285,3.2441514868793964,1.9237896622311368
1,3832.5,well_3,14911.553061231862,99.93339844323977,3.2474162883171185,1.9245012764791263
2,10767.5,well_3,14894.203006546288,99.81284957260635,3.2450755704186354,1.923991034347244
3,6205.0,well_2,20358.466263403367,99.89216264762685,5.880720528725578,1.924326703932725
4,16060.0,well_2,20324.764107924777,99.72082418149657,5.872900977050554,1.9236017350075316
5,2555.0,well_1,10760.470619164364,99.95560034979908,5.655014966900179,1.924595283976171
6,1642.5,well_3,14917.030363939866,99.9714580047908,3.248155374793606,1.9246624351412647
7,6387.5,well_3,14905.16186685202,99.8889904649458,3.2465539675993385,1.9243132759652497
8,18432.5,well_1,10731.926128199953,99.67956366330422,5.641866581625506,1.923427248542274
9,2737.5,well_2,20370.319278446987,99.95242873383928,5.883470653642238,1.9245818540383985
10,9672.5,well_3,14896.943021021107,99.83188632758063,3.245445185466943,1.9240715894205216
11,3102.5,well_2,20369.07171878663,99.94608541694771,5.883181196173238,1.9245549944581468
12,4562.5,well_1,10756.863197161618,99.92071101622855,5.653353103650852,1.924447560075862
13,4927.5,well_3,14908.814110869025,99.9143671327079,3.2470467293036105,1.9244207024653095
14,20805.0,well_2,20308.529408867646,99.63829833928642,5.869134207985612,1.923252778837904
15,20440.0,well_2,20309.77841057939,99.64464716359498,5.869424001019868,1.9232796192391781
16,9490.0,well_2,20347.23461927538,99.8350590207611,5.878114571810222,1.9240850156117804
17,16242.5,well_2,20324.139789468558,99.71765046603689,5.872756122961731,1.9235883123771182
18,17520.0,well_1,10733.567427003238,99.69543366195676,5.642622518694739,1.9234943567387217
19,6935.0,well_1,10752.599264440125,99.87947374679813,5.651388868464206,1.9242729926544735
20,7117.5,well_2,20355.34660359946,99.87630145070965,5.8799967079785205,1.9242595650814789
21,20987.5,well_3,14868.61990186847,99.63512388445184,3.2416253241728654,1.9232393587862062
22,16060.0,well_2,20324.764107924777,99.72082418149657,5.872900977050554,1.9236017350075316
23,2372.5,well_1,10760.79854294281,99.95877193743664,5.655166037110101,1.924608714012383
24,20622.5,well_3,14869.53388418347,99.64147276566703,3.241748562971313,1.923266198988903
25,18615.0,well_3,14874.560389440114,99.67638957826847,3.242426355564958,1.9234138272004782
26,11680.0,well_3,14891.91950861524,99.79698482964875,3.2447675498596023,1.9239239078367785
27,1642.5,well_1,10762.110198605229,99.9714580047908,5.6557703041723455,1.924662435141264
28,1825.0,well_1,10761.782290606989,99.96828653042904,5.65561923947335,1.9246490047114464
29,7847.5,well_2,20352.85074210688,99.86361198279101,5.879417620272243,1.9242058557759367
30,6752.5,well_3,14904.248750442106,99.88264601453277,3.246430774253832,1.9242864203261165
31,547.5,well_1,10764.077563763678,99.99048625637863,5.656676663436206,1.9247430197858637
32,9307.5,well_3,14897.856314813802,99.83823168556928,3.245568388149834,1.9240984419017932
33,17520.0,well_1,10733.567427003238,99.69543366195676,5.642622518694739,1.9234943567387217
34,18432.5,well_2,20316.647387495534,99.67956366330422,5.871017738853606,1.9234272485422739
35,14052.5,well_1,10739.803459842311,99.75573317614256,5.645494764970749,1.9237493904784342
36,10767.5,well_2,20342.86610771412,99.81284957260635,5.877100992850565,1.923991034347238
37,8395.0,well_3,14900.13945226407,99.85409458407224,3.2458763897521217,1.92416557483284
38,12957.5,well_3,14888.722378488023,99.77477299717184,3.244336308833578,1.9238299348743257
39,13687.5,well_1,10740.459801247685,99.76207989675909,5.6457970777134925,1.9237762382146124
40,2007.5,well_3,14916.117535514386,99.9651150277503,3.24803219663626,1.924635574380023
